ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,weekday
ECAC7F3481B4F108,classic_bike,"2023-12-13 15:50:00","2023-12-13 15:55:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,5,Wednesday
F9BB3362FA117177,classic_bike,"2023-12-12 17:18:00","2023-12-12 17:25:00","LaSalle St & Jackson Blvd",TA1309000004,"Federal St & Polk St",SL-008,42,-88,42,-88,member,7,Tuesday
4127D9B7DD36FA74,classic_bike,"2023-12-28 06:41:00","2023-12-28 06:47:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,6,Thursday
CAF47C2D034BDAE7,classic_bike,"2023-12-12 07:37:00","2023-12-12 07:41:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,4,Tuesday
A1024986DDA05A3A,classic_bike,"2023-12-10 12:17:00","2023-12-10 12:21:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,4,Sunday
EC1806DA839E5D6A,electric_bike,"2023-12-08 17:06:00","2023-12-08 17:10:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,4,Friday
80DA05E84A4204FA,electric_bike,"2023-12-02 09:28:00","2023-12-02 09:33:00","Wilton Ave & Diversey Pkwy",TA1306000014,"DuSable Lake Shore Dr & Diversey Pkwy",TA1309000039,42,-88,42,-88,member,5,Saturday
A636458D95AF18F9,classic_bike,"2023-12-23 19:33:00","2023-12-23 19:36:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,3,Saturday
744E7C6D907BD4D9,electric_bike,"2023-12-21 17:41:00","2023-12-21 18:00:00","DuSable Lake Shore Dr & Belmont Ave",TA1309000049,"Campbell Ave & Fullerton Ave",15648,42,-88,42,-88,member,19,Thursday
41A68E22B5578B3F,electric_bike,"2023-12-31 18:16:00","2023-12-31 18:34:00","DuSable Lake Shore Dr & Belmont Ave",TA1309000049,"Campbell Ave & Fullerton Ave",15648,42,-88,42,-88,member,18,Sunday
E4E789081E5D7271,classic_bike,"2023-12-19 20:20:00","2023-12-19 20:26:00","Wilton Ave & Diversey Pkwy",TA1306000014,"DuSable Lake Shore Dr & Diversey Pkwy",TA1309000039,42,-88,42,-88,member,6,Tuesday
614E41468ED88E02,classic_bike,"2023-12-13 23:14:00","2023-12-13 23:18:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,4,Wednesday
62BC6E8A6A3BA47F,classic_bike,"2023-12-13 15:36:00","2023-12-13 15:47:00","DuSable Lake Shore Dr & Belmont Ave",TA1309000049,"Clarendon Ave & Leland Ave",TA1307000119,42,-88,42,-88,member,11,Wednesday
608498D381C010E5,classic_bike,"2023-12-06 19:10:00","2023-12-06 19:16:00","Wilton Ave & Diversey Pkwy",TA1306000014,"DuSable Lake Shore Dr & Diversey Pkwy",TA1309000039,42,-88,42,-88,member,6,Wednesday
DAE57A07EAF7F89F,classic_bike,"2023-12-14 13:58:00","2023-12-14 14:05:00","Wilton Ave & Diversey Pkwy",TA1306000014,"DuSable Lake Shore Dr & Diversey Pkwy",TA1309000039,42,-88,42,-88,member,7,Thursday
8B0C25CEECC69465,classic_bike,"2023-12-31 17:21:00","2023-12-31 17:27:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,6,Sunday
E4939E677835B0FF,classic_bike,"2023-12-10 21:22:00","2023-12-10 21:28:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,6,Sunday
35BDBBC76068314A,classic_bike,"2023-12-11 09:22:00","2023-12-11 09:29:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,7,Monday
E53B8F2CA538403E,electric_bike,"2023-12-27 09:31:00","2023-12-27 09:46:00","Morgan St & 31st St",TA1308000046,"State St & 35th St",TA1307000129,42,-88,42,-88,member,15,Wednesday
14C64C29E10A26AB,classic_bike,"2023-12-04 19:20:00","2023-12-04 19:24:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,4,Monday
1AA33742C81C853D,classic_bike,"2023-12-07 08:59:00","2023-12-07 09:15:00","Morgan St & 31st St",TA1308000046,"State St & 35th St",TA1307000129,42,-88,42,-88,member,16,Thursday
859F1789C2C2F082,classic_bike,"2023-12-22 11:30:00","2023-12-22 11:35:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,5,Friday
4579FBE6A483B8EA,classic_bike,"2023-12-02 13:46:00","2023-12-02 13:49:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Federal St & Polk St",SL-008,42,-88,42,-88,member,3,Saturday
36EAB6CB324C7517,electric_bike,"2023-12-16 10:52:00","2023-12-16 11:02:00","Sedgwick St & North Ave",TA1307000038,"Desplaines St & Kinzie St",TA1306000003,42,-88,42,-88,member,10,Saturday
BB222584BD106229,electric_bike,"2023-12-03 13:49:00","2023-12-03 13:52:00","Sangamon St & Lake St",TA1306000015,"Desplaines St & Kinzie St",TA1306000003,42,-88,42,-88,member,3,Sunday
